address	available_bike_stands	available_bikes	banking	bike_stands	bonus	contract_name	last_update	lat	lng	name	number	status	idr
112 RUE VERCINGETORIX - 75014 PARIS	53	14	0	67	0	Paris	15/07/2013 22:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	108821
112 RUE VERCINGETORIX - 75014 PARIS	53	14	0	67	0	Paris	15/07/2013 22:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	110050
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 22:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	111279
112 RUE VERCINGETORIX - 75014 PARIS	53	14	0	67	0	Paris	15/07/2013 22:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	112508
112 RUE VERCINGETORIX - 75014 PARIS	53	14	0	67	0	Paris	15/07/2013 22:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	113737
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 22:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	114966
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 22:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	116195
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 22:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	117424
112 RUE VERCINGETORIX - 75014 PARIS	52	15	0	67	0	Paris	15/07/2013 23:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	118653
112 RUE VERCINGETORIX - 75014 PARIS	51	16	0	67	0	Paris	15/07/2013 23:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	119882
112 RUE VERCINGETORIX - 75014 PARIS	51	16	0	67	0	Paris	15/07/2013 23:10	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	121111
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	15/07/2013 23:15	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	122340
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	15/07/2013 23:20	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	123569
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	15/07/2013 23:25	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	124798
112 RUE VERCINGETORIX - 75014 PARIS	48	19	0	67	0	Paris	15/07/2013 23:30	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	126027
112 RUE VERCINGETORIX - 75014 PARIS	49	18	0	67	0	Paris	15/07/2013 23:35	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	127256
112 RUE VERCINGETORIX - 75014 PARIS	46	21	0	67	0	Paris	15/07/2013 23:40	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	128485
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	15/07/2013 23:45	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	129714
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	15/07/2013 23:50	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	130943
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	15/07/2013 23:55	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	132172
112 RUE VERCINGETORIX - 75014 PARIS	47	20	0	67	0	Paris	16/07/2013 00:00	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	133401
112 RUE VERCINGETORIX - 75014 PARIS	46	21	0	67	0	Paris	16/07/2013 00:05	48,83425925	2,313391647	14029 - GERGOVIE VERCINGETORIX	14029	OPEN	134630
